CTA_Task_NGCGROUPBAT;7;2020-08-05 05:49:28.6311609 +02:00;2020-08-05 05:49:45.2314775 +02:00;17
CTA_Task_GPSLOT;7;2020-08-05 05:49:28.6467880 +02:00;2020-08-05 05:49:45.6846085 +02:00;17
CTA_Task_PURGEKO;7;2020-08-05 05:49:28.6467880 +02:00;2020-08-05 05:50:19.9168925 +02:00;51
CTA_Task_GPSBRIN;7;2020-08-05 05:49:28.6467880 +02:00;2020-08-05 05:49:45.7002337 +02:00;17
CTA_Task_GPSBRAP;7;2020-08-05 05:49:28.6467880 +02:00;2020-08-05 05:50:24.2783876 +02:00;56
CTA_Task_NGCBAT;7;2020-08-05 05:49:28.8186648 +02:00;2020-08-05 05:49:45.9502358 +02:00;17
CTA_Task_GPSBRAECH;7;2020-08-05 05:49:36.3251140 +02:00;2020-08-05 05:49:45.9502358 +02:00;9
CTA_Task_GPSWAG;7;2020-08-05 05:49:44.9033563 +02:00;2020-08-05 05:57:40.6805528 +02:00;476
CTA_Task_GPSTDEP;7;2020-08-05 05:49:50.7213527 +02:00;2020-08-05 05:49:59.6221026 +02:00;9
CTA_Task_GPSPCWP;7;2020-08-05 05:49:53.8620041 +02:00;2020-08-05 05:50:09.6509265 +02:00;16
CTA_Task_GPSDPCWP;7;2020-08-05 05:50:00.0908366 +02:00;2020-08-05 05:50:17.2137258 +02:00;17
CTA_Task_GP;7;2020-08-05 05:50:09.8535350 +02:00;2020-08-05 06:00:50.7142466 +02:00;641
CTA_Task_GPSSUIGIB;7;2020-08-05 05:52:43.7891720 +02:00;2020-08-05 05:53:14.6981343 +02:00;31
CTA_Task_GPSANOGIB;7;2020-08-05 05:52:50.3233018 +02:00;2020-08-05 05:53:52.3449639 +02:00;62
CTA_Task_GPSMELDISN;7;2020-08-05 05:52:57.0808822 +02:00;2020-08-05 05:53:07.5773511 +02:00;10
CTA_Task_GPSMISCIBN;7;2020-08-05 05:53:03.0372508 +02:00;2020-08-05 05:53:08.5773632 +02:00;5
CTA_Task_GPSEXCEPMD;7;2020-08-05 05:53:14.2293724 +02:00;2020-08-05 05:53:20.6940840 +02:00;6
CTA_Task_GPSAD0013;7;2020-08-05 05:53:14.6825348 +02:00;2020-08-05 05:53:21.3695251 +02:00;7
CTA_Task_GPSLDVENT;7;2020-08-05 05:53:21.5570161 +02:00;2020-08-05 05:53:33.0400309 +02:00;12
CTA_Task_GPSLDVWAG;7;2020-08-05 05:53:27.4810431 +02:00;2020-08-05 05:53:36.0866110 +02:00;9
CTA_Task_GPSLDVANO;7;2020-08-05 05:53:48.1256513 +02:00;2020-08-05 05:53:49.8913024 +02:00;1
CTA_Task_GPSLDVRES;7;2020-08-05 05:53:48.1256513 +02:00;2020-08-05 05:53:51.0634928 +02:00;3
CTA_Task_GPSFAITMJR;7;2020-08-05 05:53:48.1256513 +02:00;2020-08-05 05:53:52.1887155 +02:00;4
CTA_Task_GPSGQ0045;7;2020-08-05 05:53:51.1413533 +02:00;2020-08-05 05:53:53.6429402 +02:00;2
CTA_Task_GPSTIPTRAV;7;2020-08-05 05:53:58.6860699 +02:00;2020-08-05 05:54:04.4201090 +02:00;6
CTA_Task_GPSHISCOUL;7;2020-08-05 05:54:06.6544995 +02:00;2020-08-05 05:54:15.5906826 +02:00;9
CTA_Task_GPSSQ0200;7;2020-08-05 05:54:09.1284594 +02:00;2020-08-05 05:54:13.3813385 +02:00;4
CTA_Task_GPSSQ0201;7;2020-08-05 05:54:16.9813384 +02:00;2020-08-05 05:54:18.7782230 +02:00;2
CTA_Task_GPSSQ0204;7;2020-08-05 05:54:20.7782569 +02:00;2020-08-05 05:54:22.3720248 +02:00;2
CTA_Task_GPSSQ0205;7;2020-08-05 05:54:31.0909569 +02:00;2020-08-05 05:54:32.8519993 +02:00;1
CTA_Task_GPSSQ0206;7;2020-08-05 05:54:36.8018944 +02:00;2020-08-05 05:54:38.4113044 +02:00;2
CTA_Task_GPSACIGIG;7;2020-08-05 05:54:42.7876590 +02:00;2020-08-05 05:54:44.6001754 +02:00;2
CTA_Task_GPSGRPGIG;7;2020-08-05 05:54:49.5064851 +02:00;2020-08-05 05:54:50.7721289 +02:00;1
